"","day","temp","dewp","visib","Num_collision"
"254",4,69.9,66.8,6.8,0.760233918128655
"255",5,70.2,67.6,5.3,0.871345029239766
"256",6,69.1,67,6.1,0.847953216374269
"257",7,64.5,57.6,10,0.672514619883041
"258",1,61.2,50.7,10,0.56140350877193
"259",2,62.4,54.8,10,0.748538011695906
"260",3,56.1,43.1,10,0.725146198830409
"261",4,56.1,42.7,10,0.596491228070175
"262",5,62.4,54.6,10,0.783625730994152
"263",6,62.6,58.5,9.5,0.771929824561403
"264",7,63.6,60.3,9.9,0.690058479532164
"265",1,66.3,63.4,8.8,0.695906432748538
"266",2,57.5,44.9,10,0.789473684210526
"267",3,54.5,42.7,10,0.766081871345029
"268",4,55.3,45.3,10,0.637426900584795
"269",5,56.8,46.4,10,0.64327485380117
"270",6,58.1,51.2,10,0.637426900584795
"271",7,59.2,50.1,10,0.760233918128655
"272",1,54.9,50.1,10,0.614035087719298
"273",2,59.5,54.3,9.8,0.684210526315789
"274",3,62.1,51.8,10,0.719298245614035
"275",4,64.8,58.1,9.3,0.777777777777778
"276",5,65.8,56.3,10,0.754385964912281
"277",6,62.8,57.5,9.3,0.865497076023392
"278",7,61.3,57.7,9.6,0.654970760233918
"279",1,59.1,54.8,6.9,0.456140350877193
"280",2,65.7,62.3,8.5,0.707602339181287
"281",3,61.5,51.6,8.7,0.678362573099415
"282",4,56.4,44.3,10,0.614035087719298
"283",5,58.4,52.6,10,0.713450292397661
"284",6,60.6,56.6,10,0.923976608187134
"285",7,58.6,53.4,10,0.666666666666667
"286",1,55.1,45.6,10,0.590643274853801
"287",2,51.5,44,10,0.432748538011696
"288",3,53.9,47.3,10,0.690058479532164
"289",4,57.5,55.4,6.2,0.766081871345029
"290",5,59.4,57.4,7.9,0.666666666666667
"291",6,62.3,57,8.8,0.859649122807018
"292",7,57.3,45,10,0.654970760233918
"293",1,58.3,47.4,10,0.649122807017544
"294",2,54.4,41.1,10,0.672514619883041
"295",3,59.1,52.4,10,0.590643274853801
"296",4,52.5,44.6,9.8,0.766081871345029
"297",5,48.4,34.5,9.9,0.888888888888889
"298",6,48,30.2,10,0.725146198830409
"299",7,49,32.9,10,0.719298245614035
"300",1,54.3,38.7,10,0.573099415204678
"301",2,50.7,33,10,0.736842105263158
"302",3,47.5,34.1,10,0.690058479532164
"303",4,46.8,38.6,10,0.725146198830409
"304",5,54.8,50.9,9.1,0.725146198830409
"305",6,62.3,59.7,6.3,0.95906432748538
"306",7,57.4,55.2,6.4,0.672514619883041
"307",1,49.4,43.7,8.8,0.514619883040936
"308",2,42,26,10,0.625730994152047
"309",3,43.5,30.4,10,0.678362573099415
"310",4,46.5,41.4,10,0.789473684210526
"311",5,57.8,55.7,7.1,0.690058479532164
"312",6,47.1,32,10,0.812865497076023
"313",7,41.7,22.4,10,0.807017543859649
"314",1,52.5,39.7,10,0.596491228070175
"315",2,47.1,30.4,10,0.608187134502924
"316",3,45.7,36.8,8.5,0.795321637426901
"317",4,33.5,20.7,10,0.660818713450292
"318",5,42.8,27.4,10,0.783625730994152
"319",6,53,39.1,10,0.859649122807018
"320",7,51.2,43.6,9.6,0.649122807017544
"321",1,48.9,45.9,6.8,0.514619883040936
"322",2,55.9,53.7,5,0.649122807017544
"323",3,47,29.2,9.8,0.695906432748538
"324",4,38,21.5,10,0.678362573099415
"325",5,39,26.7,10,0.818713450292398
"326",6,46.2,41.9,9.4,0.941520467836257
"327",7,47.3,34.3,9.6,0.678362573099415
"328",1,30.5,9.2,10,0.578947368421053
"329",2,27,4.4,10,0.766081871345029
"331",4,53.3,51.9,5.2,0.713450292397661
"332",5,40.1,28.4,9.4,0.409356725146199
"333",6,31.2,12.9,10,0.491228070175439
"334",7,31.3,15.4,10,0.56140350877193
"335",1,43.1,35,9.8,0.491228070175439
"336",2,44,42.1,7,0.649122807017544
"337",3,41.8,38.2,10,0.730994152046784
"338",4,39.8,31.7,9.8,0.666666666666667
"339",5,43.4,40.5,8.3,0.649122807017544
"340",6,50.6,49.7,3,0.994152046783626
"341",7,39.7,34.5,7.8,0.684210526315789
"342",1,34,19.4,10,0.555555555555556
"343",2,40.8,36.3,6.8,0.666666666666667
"344",3,38.8,35.1,6.7,0.637426900584795
"345",4,31.8,20.6,9.9,0.766081871345029
"346",5,28.1,11.3,10,0.871345029239766
"347",6,28.1,12,9.9,0.912280701754386
"348",7,26.9,15.8,8.1,0.725146198830409
"349",1,40,37.1,5.8,0.549707602339181
"350",2,32,15.5,10,0.812865497076023
"351",3,28.6,15.9,9,0.666666666666667
"352",4,35.4,30.1,8.7,0.824561403508772
"353",5,39.1,27.5,10,0.695906432748538
"354",6,42.5,37.5,8.3,0.754385964912281
"355",7,47.6,45.6,5.5,0.555555555555556
"356",1,51.9,51.2,2.1,0.637426900584795
"357",2,48.7,47.5,3.5,0.783625730994152
"358",3,38.4,34.9,8.8,0.473684210526316
"360",5,33.3,26.8,9.3,0.491228070175439
"361",6,33.1,22.7,10,0.590643274853801
"362",7,39.3,29.8,9.9,0.60233918128655
"363",1,43.2,40.6,6.9,0.432748538011696
"364",2,42.5,36.9,8.8,0.573099415204678
"365",3,28.5,16.8,9.4,0.532163742690059
"366",4,28.2,10.4,10,0.463414634146341
"367",5,31.1,22.4,5.8,0.554878048780488
"368",6,24.2,20.2,0.8,0.420731707317073
"369",7,18.8,10.9,9.3,0.353658536585366
"371",2,46.3,45.1,2.5,0.591463414634146
"372",3,23.9,10.4,9.4,0.554878048780488
"373",4,18.2,5,10,0.603658536585366
"374",5,23.5,8.3,10,0.731707317073171
"375",6,28.8,22.6,9.7,0.841463414634146
"376",7,44.8,43,4.4,0.548780487804878
"377",1,45.1,38.4,5.5,0.475609756097561
"378",2,38.6,31.2,9.2,0.554878048780488
"379",3,45.5,43.2,5.2,0.701219512195122
"380",4,41.1,38.4,6.5,0.798780487804878
"381",5,40.8,39.3,4.6,0.804878048780488
"382",6,38.6,35.8,6.7,0.792682926829268
"383",7,38.8,35.8,8.7,0.481707317073171
"384",1,36.1,29,10,0.378048780487805
"385",2,41,27.9,10,0.414634146341463
"386",3,29.2,17.5,8.5,0.975609756097561
"387",4,25,20.3,1.9,0.731707317073171
"388",5,16.5,5.1,9.7,0.823170731707317
"389",6,14.8,-0.5,10,0.829268292682927
"390",7,32,23,8.5,0.542682926829268
"391",1,26.8,15.4,9.4,0.432926829268293
"392",2,38.8,32.3,8.8,0.615853658536585
"393",3,22.2,-1.3,10,0.664634146341463
"394",4,20.3,10.4,6.3,0.713414634146341
"395",5,22,5.8,10,0.810975609756098
"396",6,33.7,26.7,9.9,0.676829268292683
"397",5,24.7,11.2,8.6,0.585365853658537
"398",6,20.3,0.3,9.6,0.786585365853659
"399",7,35.6,25.1,10,0.524390243902439
"400",1,39.3,37.2,5.5,0.48780487804878
"401",2,36.5,33.6,5.3,0.804878048780488
"402",3,32.5,26.2,10,0.682926829268293
"403",4,32.3,29.1,6.3,0.603658536585366
"404",5,30.4,24.5,8.6,0.676829268292683
"405",6,28.1,15.7,10,0.792682926829268
"406",7,28.2,14.2,10,0.518292682926829
"407",1,30.3,18.2,10,0.371951219512195
"408",2,28.9,18.8,9,0.853658536585366
"409",3,24,6.4,10,0.75
"410",4,23.7,10,10,0.810975609756098
"411",5,37,32,6.3,0.396341463414634
"412",6,40.2,35.7,5.7,0.896341463414634
"413",7,35.2,28.8,7.3,0.457317073170732
"414",1,29.8,22.4,7.5,0.481707317073171
"415",2,24.3,8.9,9.3,0.341463414634146
"416",3,28.2,18.5,9,0.548780487804878
"417",4,35,29.4,8.9,0.731707317073171
"418",5,39.6,32.2,7.1,0.725609756097561
"419",6,42.2,40,3.9,0.817073170731707
"420",7,41.4,36.5,7.1,0.615853658536585
"421",1,42,36.9,9.5,0.48780487804878
"422",2,37.5,25.8,9.7,0.75609756097561
"423",3,27,8.7,10,0.609756097560976
"424",4,25.8,12.6,8.9,0.652439024390244
"425",7,24.1,12.5,10,0.597560975609756
"426",1,35.1,28.8,9.1,0.353658536585366
"427",2,27.3,20.3,5.8,0.50609756097561
"428",3,24.8,12.2,10,0.603658536585366
"429",4,29.5,18.3,9.5,0.560975609756098
"430",5,26.3,14,9.1,0.682926829268293
"431",6,29.4,20.9,10,0.621951219512195
"432",7,40.3,33.2,8.9,0.621951219512195
"433",1,35.2,21.7,10,0.451219512195122
"434",2,33.5,24,8.9,0.536585365853659
"435",3,41.3,34.1,8.3,0.646341463414634
"436",4,43.4,37.1,7.2,0.658536585365854
"437",5,32.2,27.9,3.9,0.628048780487805
"438",6,25.4,9,10,0.75
"439",7,41.3,34.3,8.8,0.646341463414634
"440",1,35.3,16.8,10,0.573170731707317
"441",2,28.5,12.1,10,0.689024390243902
"442",3,27.7,14.7,10,0.701219512195122
"443",4,35,23.6,10,0.652439024390244
"444",5,41.7,37.6,6.3,0.774390243902439
"445",6,39.3,28.2,9.6,0.689024390243902
"446",7,38.1,27.9,9.7,0.579268292682927
"447",1,38.9,25.3,10,0.567073170731707
"448",2,27.4,8,10,0.560975609756098
"449",3,26.5,10.5,10,0.567073170731707
"450",4,30.8,22.2,4.7,0.664634146341463
"451",5,28.4,8.6,10,0.695121951219512
"452",6,41.2,35.6,8.9,0.634146341463415
"453",7,44.9,42.2,4.5,0.725609756097561
"454",1,46.3,44.7,1.7,0.548780487804878
"455",2,37.8,35.3,6.1,0.634146341463415
"456",3,37.1,29.8,9.3,0.707317073170732
"457",4,39.3,28.6,10,0.713414634146341
"458",5,40.9,30.9,10,0.725609756097561
"459",6,40,30.2,10,0.73780487804878
"460",7,44.8,39.6,7.7,0.707317073170732
"461",1,41.1,25.3,10,0.646341463414634
"462",2,42,33.9,10,0.518292682926829
"463",3,47.7,45.8,1.9,0.774390243902439
"464",4,46.8,36.1,9.6,0.664634146341463
"465",5,41.6,28.9,9.9,0.878048780487805
"466",6,48,40.6,8.8,0.908536585365854
"467",7,50.1,40.8,8.5,0.658536585365854
"468",1,47,40.4,9.3,0.585365853658537
"469",2,52.2,47.8,7,0.640243902439024
"470",3,52.6,48,6.6,0.609756097560976
"471",4,42.9,32.6,7.9,0.74390243902439
"472",5,37.5,23.8,10,0.719512195121951
"473",6,40.4,32,9.9,0.591463414634146
"474",7,45.7,35.3,10,0.640243902439024
"475",1,44.2,31.2,10,0.5
"476",2,43.1,36.9,10,0.51219512195122
"477",3,49.5,43.2,10,0.603658536585366
"478",4,49.5,45.4,9.2,0.817073170731707
"479",5,49.6,28.7,10,0.865853658536585
"480",6,49,32.3,10,0.829268292682927
"481",7,44.9,36.6,9.4,0.725609756097561
"482",1,42.4,36.2,9.9,0.524390243902439
"483",2,46.5,37.2,10,0.652439024390244
"484",3,44.2,36,10,0.713414634146341
"485",4,43.5,36.5,9.8,0.926829268292683
"486",5,50.3,48.3,3.2,0.75
"487",6,51.9,44.7,6.4,0.817073170731707
"488",7,50.9,41.1,9.1,0.859756097560976
"489",1,51.4,42.6,9.8,0.585365853658537
"490",2,53.7,40,10,0.701219512195122
"491",3,52.2,40.5,9.6,0.774390243902439
"492",4,51.6,38.3,10,0.884146341463415
"493",5,52,43.4,9.6,0.804878048780488
"494",6,51.5,44.5,8.7,0.701219512195122
"495",7,54.8,49.9,7.1,0.725609756097561
"496",1,58.3,49.5,8.6,0.573170731707317
"497",2,57.8,46.2,9.8,0.853658536585366
"498",3,51.8,43.8,10,0.695121951219512
"499",4,51.2,44.3,10,0.908536585365854
"500",5,57.8,51.8,10,0.853658536585366
"501",6,58.3,52.8,9.1,0.914634146341463
"502",7,57.7,54.1,5.8,0.810975609756098
"503",1,56.5,46.1,9.8,0.695121951219512
"504",2,56.9,41.8,10,0.670731707317073
"505",3,56.4,45.7,9.9,0.810975609756098
"506",4,56.3,47.6,10,0.798780487804878
"507",5,50.3,46.2,8.6,0.804878048780488
"508",6,54.9,48.6,10,0.841463414634146
"509",7,54.6,46.9,10,0.591463414634146
"510",1,53.7,44.4,10,0.481707317073171
"511",2,56.7,51.1,9.6,0.359756097560976
"512",3,61.1,52.9,9.5,0.75
"513",4,51.1,48.4,2.6,0.664634146341463
"514",5,52,42.7,10,0.939024390243902
"515",6,49.7,42.2,10,0.896341463414634
"516",7,53.9,46.5,10,0.76219512195122
"517",1,58.4,43.5,10,0.74390243902439
"518",2,57.4,46.6,10,0.634146341463415
"519",3,58.2,47.9,10,0.835365853658537
"520",4,55.2,51.2,7.6,0.792682926829268
"521",5,60,57.2,5.8,0.75
"523",7,65.6,54,9.9,0.780487804878049
"524",1,64.9,55.5,9.8,0.603658536585366
"525",2,61.2,57,7.1,0.640243902439024
"526",3,63.8,60.7,8.7,0.658536585365854
"527",4,61.2,54.4,9.3,0.823170731707317
"528",5,61,53,10,0.74390243902439
"529",6,61.7,58.6,4,0.951219512195122
"530",7,66.5,63.8,4.8,0.707317073170732
"531",1,66.1,54.5,10,0.463414634146341
"532",2,65.2,50,10,0.725609756097561
"533",3,62.5,55.2,10,0.810975609756098
"534",4,71.6,62.9,6.4,0.871951219512195
"535",5,67.3,61.5,9.7,0.865853658536585
"536",6,64.6,48.8,9.8,0.969512195121951
"537",7,59.9,46.2,10,0.591463414634146
"538",1,63.2,49.2,9.9,0.518292682926829
"539",2,62.1,50.3,10,0.664634146341463
"540",3,60,51.9,10,0.780487804878049
"541",4,66.8,61.6,9.9,0.74390243902439
"542",5,66.7,64.4,3.5,0.786585365853659
"543",6,63.9,53.8,9.8,0.847560975609756
"544",7,62.2,51.9,9.5,0.75
"545",1,64.7,57.9,9.5,0.664634146341463
"546",2,67.3,61.6,10,0.853658536585366
"547",3,68.6,65.1,9.8,0.676829268292683
"548",4,69,66,7.2,0.878048780487805
"549",5,69.1,67.3,1.8,0.798780487804878
"550",6,69.9,68.2,3.9,0.396341463414634
"551",7,67,55.8,8.4,0.475609756097561
"552",1,68.2,59.1,10,0.481707317073171
"553",2,68.6,62.8,9.4,0.713414634146341
"554",3,69.5,66.2,6.2,0.786585365853659
"555",4,69.4,66.7,5.1,0.646341463414634
"556",5,69.4,66.1,5.4,0.74390243902439
"557",6,69.1,62.4,6.5,0.75
"558",7,65.7,58.8,9.9,0.585365853658537
"559",1,68.7,63.6,9.8,0.603658536585366
"560",2,69.7,67,7.4,0.713414634146341
"561",3,71.4,69.1,5.8,0.768292682926829
"562",4,70.4,68.5,6,0.725609756097561
"563",5,70.4,63.7,7.7,0.914634146341463
"564",6,69.6,59.4,9.6,0.804878048780488
"565",7,65,54.1,10,0.621951219512195
"566",1,65.2,57.9,9.1,0.408536585365854
"567",2,65.9,63.3,6,0.670731707317073
"568",3,67.1,63.5,5.9,0.731707317073171
"569",4,69.2,65.9,9.9,0.76219512195122
"570",5,69.6,66.7,6.4,0.74390243902439
"571",6,67.4,60.8,10,0.774390243902439
"572",7,66.9,63.2,9.8,0.615853658536585
"573",1,68.6,65.2,9.9,0.548780487804878
"574",2,69.4,66.9,4.8,0.707317073170732
"575",3,68.9,62.8,9.6,0.621951219512195
"576",4,67.3,60.6,9.3,0.792682926829268
"577",5,67.7,62.9,9.6,0.890243902439024
"578",6,67.5,62.9,9,0.98780487804878
"579",7,64.3,60,8.8,0.646341463414634
"580",1,66.4,64.6,6,0.579268292682927
"581",2,68.2,65.5,6,0.603658536585366
"582",3,69.2,67.4,3.7,0.768292682926829
"583",4,70.1,65.7,4.4,0.707317073170732
"584",5,69.3,60.6,9.2,0.810975609756098
"585",6,66.3,57.6,10,0.75609756097561
"586",7,70.4,61.3,9.9,0.646341463414634
"587",1,69.1,61.4,9.8,0.603658536585366
"588",2,66.3,59.2,7.8,0.719512195121951
"589",3,67.2,62.2,10,0.615853658536585
"590",4,66.6,63.5,8.4,0.725609756097561
"591",5,67.8,60.8,9.1,0.878048780487805
